km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,drive_type_imputed,wheell_type,condition,owners_count,price
132000,38,243,296,2,1,0,2014,2,64,1,14,3,0,0,0,2,2670000
44351,44,228,249,2,1,0,2017,0,64,1,1,3,0,0,0,2,4725000
178000,38,269,208,2,1,0,2008,2,64,13,7,0,0,0,0,3,930000
69412,3,70,340,2,1,2,2018,2,64,8,12,3,0,0,0,1,3989000
82170,38,269,208,2,1,0,2014,2,64,13,1,0,0,0,0,2,1478000
0,73,466,125,1,0,1,2020,2,64,1,1,1,1,0,1,0,1850500
100147,70,293,163,2,1,0,2014,2,64,1,14,3,0,0,0,3,2248000
66555,73,273,85,1,1,1,2015,2,64,13,1,2,0,0,0,3,690000
65696,3,68,249,2,1,2,2016,2,64,5,6,3,0,0,0,3,2098000
157000,30,421,197,1,1,0,2012,0,64,1,14,3,0,0,0,1,1265000
0,44,496,190,2,0,0,2020,0,64,10,11,1,1,0,1,0,7574875
0,73,120,199,1,0,2,2020,0,64,10,14,1,1,0,1,0,4400700
40738,37,399,249,2,1,0,2019,2,64,1,14,3,0,0,0,1,3450000
1144,6,48,249,2,1,0,2020,0,64,13,1,3,0,0,0,1,4834000
125038,70,200,166,1,1,0,2018,2,64,1,1,3,0,0,0,1,2200000
56,44,223,367,2,1,0,2019,2,64,1,14,3,0,0,0,3,6548000
153725,32,305,222,2,1,0,2010,2,64,13,14,0,0,0,0,3,1048000
0,3,69,245,2,0,2,2020,2,64,13,11,1,1,0,1,0,3490000
160505,73,335,131,1,1,0,2007,0,64,10,14,2,0,0,0,2,987000
9,44,185,197,2,1,0,2020,2,64,13,14,3,0,0,0,1,3798000
0,44,225,249,2,0,0,2020,0,64,1,14,1,1,0,1,0,8528600
77000,3,69,190,2,1,2,2015,2,64,13,14,2,0,0,0,3,1279000
112000,73,472,140,1,1,2,2012,2,64,4,6,2,0,0,0,1,659000
87000,10,459,409,2,1,0,2015,2,64,1,1,3,0,0,0,2,2650000
138000,49,290,140,1,1,3,2014,2,64,13,14,2,0,0,0,1,660000
45084,3,71,340,2,1,0,2018,2,64,13,14,3,0,0,0,3,5048000
0,49,357,146,1,0,3,2020,2,64,1,10,1,1,0,1,0,1830000
0,44,132,306,2,0,2,2020,2,64,13,11,1,1,0,1,0,6136670
41444,63,284,150,1,1,2,2018,0,64,1,1,3,0,0,0,1,2000000
84306,44,338,333,2,1,0,2014,2,64,1,1,3,0,0,0,1,1789000
5282,48,137,192,2,1,0,2016,2,64,16,13,2,0,0,0,1,1790333
195164,38,304,367,2,1,0,2008,2,64,1,14,3,0,0,0,3,1818000
0,3,384,249,2,0,0,2020,0,64,1,11,1,1,0,1,0,6071900
73490,36,440,200,1,1,0,2017,0,64,1,14,3,0,0,0,1,1879000
173579,6,507,245,2,1,0,2010,0,64,1,14,3,0,0,0,3,1318000
99700,37,165,249,1,1,0,2014,0,64,1,14,3,0,0,0,3,1935000
0,73,371,110,0,0,1,2020,2,64,8,0,1,1,0,1,0,1273100
0,3,66,150,2,0,2,2020,2,64,13,14,1,1,0,1,0,2350000
6711,44,225,333,2,1,0,2019,2,64,1,14,3,0,0,0,1,5248000
41510,6,505,360,2,1,0,2017,2,64,1,12,3,0,0,0,1,3748000
97000,74,516,185,2,1,0,2012,0,65,1,14,3,0,0,0,1,1126000
148000,66,198,158,1,1,0,2007,2,64,1,14,3,0,0,0,2,539000
60310,72,10,75,0,1,1,1996,2,64,13,7,0,0,0,0,3,75000
165832,44,160,156,2,1,0,2015,2,64,13,1,0,0,0,0,2,1350000
148000,72,295,102,0,1,1,2017,2,64,16,1,2,0,0,0,1,535000
0,3,384,249,2,0,0,2020,0,64,1,14,1,1,0,1,0,5400000
34299,32,389,222,2,1,0,2017,2,64,1,14,3,0,0,0,2,1749000
17700,32,393,405,2,1,0,2019,2,64,1,14,3,0,0,0,1,5725000
7116,6,510,249,2,1,0,2020,0,64,1,14,3,0,0,0,1,6547000
0,44,185,197,2,0,0,2020,2,64,13,14,1,1,0,1,0,4594800
239000,59,54,150,1,1,0,2000,2,64,13,14,2,0,0,0,3,248000
1041,44,219,150,2,1,2,2020,0,64,1,1,3,0,0,0,2,3010000
133500,44,244,388,2,1,0,2010,2,64,1,11,3,0,0,0,3,3255000
0,44,220,194,2,0,0,2020,0,64,1,12,1,1,0,1,0,4379120
150863,44,435,525,2,1,0,2008,2,64,12,11,0,0,0,0,2,2400000
0,3,384,249,2,0,0,2020,0,64,1,6,1,1,0,1,0,6549000
54000,44,160,184,2,1,0,2016,2,64,13,14,3,0,0,0,2,1950000
48600,44,338,333,2,1,0,2015,2,64,1,14,3,0,0,0,2,2199000
119000,6,48,204,2,1,0,2010,2,65,13,14,0,0,0,0,3,959000
21000,67,274,102,1,1,0,2019,2,64,0,4,3,0,0,0,1,1765000
0,74,518,249,2,0,0,2020,2,64,1,1,1,1,0,1,0,6201200
10899,73,89,238,1,1,0,2018,2,64,1,1,2,0,0,0,1,2220000
244000,73,471,174,2,1,0,2006,0,64,1,14,3,0,0,0,3,570000
6028,63,448,150,1,1,2,2018,2,65,8,14,2,0,0,0,1,1750000
0,3,382,249,2,0,2,2020,2,64,1,14,1,1,0,1,0,4021450
120129,44,185,333,2,1,0,2014,2,64,13,6,3,0,0,0,3,1497000
0,49,88,117,1,0,1,2020,2,64,1,1,1,1,0,1,0,1725000
65235,44,185,184,2,1,0,2017,2,64,13,14,3,0,0,0,3,2125000
144125,66,198,150,1,1,0,2012,2,64,1,11,3,0,0,0,1,788000
25185,72,11,73,0,1,1,2008,2,64,13,6,0,0,0,0,1,175000
34500,77,457,149,1,1,1,2017,2,64,1,5,2,0,0,0,1,699000
0,3,77,249,2,0,0,2020,0,64,16,4,1,1,0,1,0,5590000
75000,30,262,130,1,1,1,2014,2,64,19,11,2,0,0,0,2,600000
86152,43,156,150,1,1,0,2014,2,64,1,1,2,0,0,0,1,1099000
25886,73,471,249,2,1,0,2018,0,64,1,6,3,0,0,0,1,4200000
40550,57,285,171,1,1,3,2014,2,64,1,6,3,0,0,0,2,1100000
49778,70,293,177,2,1,0,2017,0,64,1,6,3,0,0,0,1,3348000
0,74,516,190,2,0,0,2020,0,64,1,11,1,1,0,1,0,4533100
82446,73,472,140,1,1,1,2011,2,64,4,6,2,0,0,0,2,703000
29000,72,11,73,0,1,1,2008,2,64,13,7,0,0,0,0,2,145000
98359,48,250,192,2,1,0,2015,2,64,18,14,2,0,0,0,3,1498000
0,44,223,245,2,0,0,2020,0,64,1,14,1,1,0,1,0,6729800
51000,69,326,333,2,1,0,2018,1,64,1,11,3,0,0,0,2,6890000
61159,44,161,457,2,1,0,2012,2,64,5,14,0,0,0,0,3,2048000
0,44,96,150,2,0,2,2020,2,64,19,14,1,1,0,1,0,2530400
51000,69,326,333,2,1,0,2018,1,64,1,11,3,0,0,0,2,6890000
95000,66,356,167,1,1,1,2010,2,64,16,10,3,0,0,0,1,855000
0,44,221,197,2,0,0,2020,2,64,1,14,1,1,0,1,0,4170000
1490,36,278,194,1,1,0,2020,2,64,13,1,2,0,0,0,1,2449800
8184,74,418,249,2,1,0,2019,2,64,13,14,2,0,0,0,1,3419000
0,3,69,245,2,0,2,2020,2,64,13,12,1,1,0,1,0,4153000
107200,3,70,333,2,1,2,2016,2,64,8,14,3,0,0,0,1,2020000
45000,44,131,150,2,1,2,2019,2,64,13,3,2,0,0,0,1,2399000
60500,70,117,249,1,1,0,2019,2,64,13,1,2,0,0,0,1,2455000
0,32,389,249,2,0,3,2019,2,64,1,14,1,1,0,1,0,4035000
65974,44,225,249,2,1,0,2017,0,64,1,11,3,0,0,0,3,4278000
50502,70,430,296,1,1,0,2018,2,64,10,1,2,0,0,0,2,2198000
50441,12,442,150,1,1,0,2018,0,64,10,11,2,0,0,0,2,2264000
86000,37,202,150,1,1,0,2012,0,64,1,6,3,0,0,0,2,899000
0,44,223,245,2,0,0,2020,0,64,1,1,1,1,0,1,0,6280000
19500,70,401,149,1,1,3,2019,2,64,1,12,3,0,0,0,1,2419000
0,44,185,197,2,0,0,2020,2,64,13,1,1,1,0,1,0,4073960
3027,44,228,330,2,1,0,2019,0,64,1,14,3,0,0,0,2,8194000
172930,37,397,272,2,1,0,2009,0,64,1,12,3,0,0,0,3,1299000
0,3,385,249,2,0,0,2020,0,64,1,12,1,1,0,1,0,6859000
5691,55,122,440,2,1,0,2020,2,64,1,14,3,0,0,0,1,9148000
139443,6,509,555,2,1,0,2012,2,64,1,14,3,0,0,0,2,1733000
1673,6,55,609,2,1,0,2019,2,64,13,14,3,0,0,0,1,9949000
196000,17,119,152,1,1,0,2005,2,64,10,2,2,0,0,0,2,425000
21000,70,480,381,1,1,0,2017,2,64,11,11,3,0,0,0,1,3998000
0,73,363,150,1,0,2,2020,2,64,13,12,1,1,0,1,0,2432000
108000,37,397,510,2,1,0,2010,2,64,1,14,3,0,0,0,3,1099000
79572,3,382,225,2,1,0,2014,2,64,1,1,3,0,0,0,3,1518000
0,30,439,150,1,0,0,2020,2,64,13,12,1,1,0,1,0,1924000
67750,69,325,362,2,1,0,2013,1,64,8,1,0,0,0,0,3,2800000
30102,38,176,150,2,1,0,2018,2,64,13,1,2,0,0,0,1,2749000
129650,6,55,326,2,1,0,2017,2,64,13,14,3,0,0,0,3,2629000
39421,44,229,585,2,1,0,2017,2,64,1,1,3,0,0,0,3,5398000
0,51,386,144,1,0,3,2020,2,64,1,12,1,1,0,1,0,1836000
115000,49,141,95,0,1,1,2007,2,64,19,7,2,0,0,0,2,270000
10261,30,479,150,1,1,1,2019,2,64,1,1,2,0,0,0,1,1580000
258341,44,453,249,2,1,0,2014,0,64,13,12,3,0,0,0,1,2299000
149000,51,461,182,1,1,3,2008,2,64,13,14,2,0,0,0,3,490000
0,3,379,180,2,0,2,2020,2,64,1,11,1,1,0,1,0,3071000
53376,70,292,249,2,1,0,2016,0,64,1,14,3,0,0,0,2,4198000
97000,49,357,167,1,1,3,2013,2,65,1,12,3,0,0,0,2,884000
110000,30,236,145,1,1,0,2011,0,64,10,11,0,0,0,0,3,999000
0,44,220,194,2,0,0,2020,0,64,1,11,1,1,0,1,0,4379120
2985,3,70,245,2,1,2,2020,2,64,8,11,3,0,0,0,1,4947000
114812,44,245,571,2,1,0,2016,2,64,1,14,3,0,0,0,3,4798000
0,3,384,249,2,0,0,2020,0,64,1,1,1,1,0,1,0,6023900
9924,44,161,510,2,1,0,2018,2,64,13,1,0,0,0,0,2,5248000
102302,32,391,231,2,1,3,2015,3,64,1,14,3,0,0,0,1,1584000
160000,30,421,112,1,1,1,2008,0,64,1,10,3,0,0,0,3,449000
0,49,357,146,1,0,3,2020,2,64,1,14,1,1,0,1,0,2202000
125000,73,424,160,1,1,2,2011,2,64,18,1,2,0,0,0,3,710000
159000,35,235,243,1,1,0,2013,0,64,1,1,3,0,0,0,3,1560000
23000,36,121,202,1,1,0,2019,0,64,10,11,2,0,0,0,1,2980111
0,44,131,163,2,0,2,2020,2,64,13,12,1,1,0,1,0,3028780
76413,6,509,575,2,1,0,2015,2,64,1,14,3,0,0,0,3,3547000
94000,36,440,197,1,1,0,2014,0,64,1,0,3,0,0,0,2,1269000
61869,20,183,249,1,1,0,2017,2,64,1,14,3,0,0,0,1,2300000
156361,6,510,381,2,1,0,2013,0,64,1,14,3,0,0,0,2,1954000
68067,34,521,240,2,1,0,2016,2,64,13,12,0,0,0,0,3,2398000
0,44,217,150,2,0,2,2020,2,64,1,11,1,1,0,1,0,3124800
119765,55,122,245,2,1,0,2013,0,64,1,14,3,0,0,0,3,2445000
189000,51,461,182,1,1,3,2011,2,64,13,14,2,0,0,0,3,730000
100000,36,440,175,1,1,1,2012,2,64,1,6,3,0,0,0,3,965000
73615,34,207,180,2,1,0,2016,0,64,1,1,3,0,0,0,2,2429000
0,44,220,249,2,0,0,2020,2,64,1,14,1,1,0,1,0,4752000
15666,44,185,184,2,1,0,2019,2,64,5,14,3,0,0,0,2,3698000
28450,63,284,150,1,1,2,2018,2,64,1,11,2,0,0,0,1,1825000
71000,37,397,339,2,1,0,2014,0,64,1,1,3,0,0,0,2,3150000
0,44,185,197,2,0,0,2020,2,64,13,11,1,1,0,1,0,4569166
3160,44,225,333,2,1,0,2019,2,64,1,14,3,0,0,0,2,5400000
97913,44,230,249,2,1,0,2015,0,64,1,14,3,0,0,0,2,3050000
0,44,185,194,2,0,0,2020,0,64,13,14,1,1,0,1,0,4000000
189790,38,303,380,2,1,0,2007,2,64,13,14,0,0,0,0,2,918000
58860,73,471,249,2,1,0,2017,2,64,1,1,3,0,0,0,3,2465000
234829,30,439,131,1,1,1,2003,2,64,13,14,2,0,0,0,3,179999
90000,63,448,152,1,1,2,2013,2,64,8,1,2,0,0,0,2,699000
5000,73,471,249,2,1,0,2019,0,64,1,1,3,0,0,0,2,4050000
43281,37,399,380,2,1,0,2017,2,64,1,11,3,0,0,0,1,4049000
0,44,160,150,2,0,0,2020,2,64,13,12,1,1,0,1,0,3474800
117842,49,361,178,1,1,0,2014,0,64,1,14,3,0,0,0,3,1479000
66553,44,223,249,2,1,0,2016,0,64,1,14,3,0,0,0,3,3118000
99971,6,505,184,2,1,0,2014,0,64,1,1,3,0,0,0,1,1499000
0,73,371,125,0,0,2,2020,2,64,8,14,1,1,0,1,0,1236400
134366,70,252,150,1,1,1,2015,0,64,11,7,3,0,0,0,1,1648000
147279,0,318,290,2,1,0,2014,2,64,1,14,3,0,0,0,2,1725000
0,51,386,144,1,0,3,2020,2,64,1,14,1,1,0,1,0,1945000
89635,55,362,440,2,1,2,2015,2,64,19,14,3,0,0,0,1,3990000
59950,3,382,249,2,1,2,2018,2,64,1,14,3,0,0,0,2,2549000
0,44,223,245,2,0,0,2020,0,64,1,1,1,1,0,1,0,6280000
129000,25,256,126,0,1,1,2008,2,64,1,7,3,0,0,0,2,345000
124000,36,440,175,1,1,0,2013,2,64,1,1,3,0,0,0,2,1210000
250000,17,119,165,1,1,0,1991,2,64,10,6,2,0,0,0,3,175000
76000,6,507,249,2,1,0,2018,0,64,1,14,3,0,0,0,1,4999000
60217,6,55,320,2,1,0,2018,0,64,13,14,3,0,0,0,3,3798000
0,3,382,249,2,0,2,2020,2,64,1,12,1,1,0,1,0,3540000
0,73,371,90,0,0,1,2020,2,64,8,1,1,1,0,1,0,926800
10398,63,284,150,1,1,2,2019,2,4,1,14,3,0,0,0,1,1855939
99320,44,228,333,2,1,0,2016,2,64,1,7,3,0,0,0,3,3295000
104000,30,148,121,1,1,0,2017,2,64,1,14,3,0,0,0,2,1090000
0,3,66,190,2,0,2,2020,2,64,13,14,1,1,0,1,0,2470000
69207,73,471,204,2,1,0,2013,0,64,1,6,3,0,0,0,2,1995000
70140,70,292,249,2,1,0,2018,0,64,1,14,3,0,0,0,2,4248000
67544,37,181,240,2,1,0,2011,2,64,0,1,3,0,0,0,3,1345000
159277,43,158,277,1,1,0,2012,2,64,1,1,3,0,0,0,3,925000
82609,70,292,309,2,1,0,2016,2,64,1,14,3,0,0,0,1,4398000
72577,6,510,249,2,1,0,2017,0,64,1,11,3,0,0,0,2,3648000
0,74,516,249,2,0,0,2020,2,64,1,11,1,1,0,1,0,4193900
66896,44,135,204,2,1,0,2016,0,64,13,1,3,0,0,0,3,2195000
140250,73,364,152,1,1,2,2012,2,64,13,14,2,0,0,0,3,899000
131000,49,290,143,1,1,3,2010,2,64,13,11,2,0,0,0,2,386000
104000,51,526,141,1,1,1,2012,2,65,1,14,3,0,0,0,1,919000
0,3,65,150,2,0,2,2020,2,64,13,11,1,1,0,1,0,2016000
76437,44,185,184,2,1,0,2017,2,64,5,14,0,0,0,0,3,2648000
3750,44,222,390,2,1,0,2020,2,64,1,11,3,0,0,0,1,5250000
0,44,453,367,2,0,0,2019,2,64,13,14,1,1,0,1,0,9044400
59000,6,48,190,2,1,0,2018,0,65,13,14,0,0,0,0,1,2149000
126000,63,350,180,1,1,2,2014,2,64,8,12,2,0,0,0,3,699000
0,44,185,197,2,0,0,2020,2,64,13,14,1,1,0,1,0,3953050
320000,36,440,170,1,1,1,2009,0,64,1,14,3,0,0,0,3,550000
0,3,381,180,2,0,2,2020,2,64,1,14,1,1,0,1,0,3448683
104383,44,160,156,2,1,0,2010,2,64,13,14,0,0,0,0,2,778000
278554,10,459,324,2,1,0,2012,2,64,1,14,3,0,0,0,2,1117000
46353,44,220,170,2,1,0,2017,0,64,1,12,3,0,0,0,2,3098000
82169,44,453,367,2,1,0,2016,2,64,5,14,3,0,0,0,2,4464000
132000,3,64,122,2,1,2,2011,2,64,18,7,2,0,0,0,3,549000
0,44,221,197,2,0,0,2020,2,64,1,12,1,1,0,1,0,4643900
61674,6,507,381,2,1,0,2013,0,64,1,1,3,0,0,0,3,2798000
108000,70,117,277,1,1,0,2011,2,64,13,11,2,0,0,0,2,749000
200000,44,160,156,2,1,0,2013,2,64,13,12,0,0,0,0,2,925000
0,51,386,144,1,0,3,2020,2,64,1,1,1,1,0,1,0,1877000
140933,32,390,405,2,1,0,2012,2,64,1,7,3,0,0,0,3,1582000
0,3,66,190,2,0,2,2020,2,64,13,1,1,1,0,1,0,2940000
108000,36,444,150,1,1,1,2012,2,64,1,6,3,0,0,0,1,819000
235900,30,421,173,1,1,0,2008,2,64,1,0,3,0,0,0,3,445000
11,44,225,249,2,1,0,2020,0,64,1,12,3,0,0,0,1,6698000
0,51,526,171,1,0,3,2020,2,64,1,11,1,1,0,1,0,2340000
118000,51,79,107,0,1,0,2010,2,64,13,14,2,0,0,0,3,329000
95470,44,135,265,2,1,0,2013,0,64,13,11,3,0,0,0,2,1779000
0,44,221,197,2,0,0,2020,2,64,1,1,1,1,0,1,0,4404065
91800,35,235,286,1,1,0,2014,2,64,1,12,3,0,0,0,2,2050000
95454,35,235,243,1,1,0,2014,0,64,1,14,3,0,0,0,1,2230000
138162,38,412,277,2,1,0,2014,2,64,1,14,3,0,0,0,2,1669000
0,3,384,249,2,0,0,2020,0,64,1,1,1,1,0,1,0,6244300
94574,44,244,245,2,1,0,2016,0,64,1,14,3,0,0,0,3,4398000
72078,53,477,150,1,1,0,2019,0,64,10,10,2,0,0,0,1,2123000
0,34,207,249,2,0,0,2020,2,64,1,14,1,1,0,1,0,4716000
123000,73,471,245,2,1,0,2015,0,64,1,0,3,0,0,0,3,1999000
104627,37,181,150,2,1,0,2014,0,64,1,14,3,0,0,0,2,1425000
43660,63,448,150,1,1,2,2016,2,64,8,1,2,0,0,0,1,1300000
